pair,bar_type,n_bars,n,skew,exkurt,jb,jb_p,ac1,lb_p,count_cv
TRXUSDT,volume,1096,1095,0.2811728118951723,3.3195236123440512,517.1808011162044,4.9615339161995723e-113,0.03577147465379612,0.08811369933291237,1.6913668981958965
TRXUSDT,dollar,1095,1094,0.0557370632520233,1.567551268993463,112.57458113384686,3.5870737472454196e-25,-0.023661577952982172,0.5163641053990751,1.6283063718924333
UNIUSDT,time,1095,1094,0.5679539771344954,6.053674283780815,1729.3067325358634,0.0,-0.04023311157298022,0.5106197449175545,0.0832282035505413
UNIUSDT,tick,1096,1095,0.02822583032782001,1.2305058179398385,69.22824320758978,9.274232763076574e-16,0.06550750338760207,0.14680404870657998,0.8521176379557205
UNIUSDT,volume,1096,1095,-0.08992730212805486,1.0541799977916595,52.178718555236614,4.672348510486339e-12,0.050372349790996425,0.3870085318939467,0.6559387162986152
UNIUSDT,dollar,1096,1095,0.04308193198341916,0.7763004042429178,27.834285389339488,9.033618042028203e-07,0.03314198947059968,0.19533376406230624,0.9782432174162837
XLMUSDT,time,1096,1095,2.5787997819307305,25.22897040158414,30254.018748322585,0.0,-0.006191578752330974,0.00011757366273819128,0.08404917638543213
XLMUSDT,tick,1096,1095,0.08541550324605002,1.00594648302296,47.50071490151984,4.845636320282373e-11,-0.01892012111622848,0.6993725515314536,1.9351218744974934
XLMUSDT,volume,1096,1095,0.11434746377972954,0.577387754078611,17.5965582230937,0.00015099269322676765,0.054381607475032935,0.04402705074382714,1.3990783009125924
XLMUSDT,dollar,1096,1095,-0.08214176229035441,1.9192255511098901,169.28772053197855,1.736355149969955e-37,-0.015102382122812117,0.1909545693251279,2.5838321614223636
XRPUSDT,time,1095,1094,1.8072113239654155,19.622357713346034,18146.76936664059,0.0,-0.029199705144728853,0.45499540406393324,0.08322820355054134
XRPUSDT,tick,1096,1095,-0.025295970787662346,2.059525629964985,193.64186977972318,8.93721579972508e-43,-0.011199277749288963,0.40847005865130304,1.1455803022535278
XRPUSDT,volume,1096,1095,0.11136830232878012,2.22530157771759,228.19702849988408,2.8031405111216934e-50,-0.006060219098088917,0.3614358622556817,0.7357134468173356
XRPUSDT,dollar,1096,1095,-0.1449534555503656,1.7052661402585523,136.5090248211172,2.277413522941644e-30,0.03136990130576552,0.909286584338848,1.334994577665817
ZECUSDT,time,1095,1094,0.12179843499884316,3.0998200811824974,440.7098760011574,2.000167499593101e-96,-0.001174660387613046,0.09305497754037925,0.08322820355054134
ZECUSDT,tick,1096,1095,-0.0221885057005232,1.558372736339316,110.89133001811254,8.322496881791455e-25,-0.035027279118151844,0.9069347882165708,0.6560390775398918
ZECUSDT,volume,1096,1095,-0.26456158561232745,2.618005052911087,325.4851815498887,2.097929335638196e-71,-0.0023708368396257217,0.4508827901871346,0.5387934722462585
ZECUSDT,dollar,1096,1095,-0.2145631803604884,1.8771254462202416,169.1660652030384,1.8452519736665495e-37,-0.022979903766327567,0.4730063790168524,0.9503773443725292
